"ID";"Heure";"Valeur"
1014802;9;1,0216597468861
1014802;10;1,04206893101896
1014802;11;1,04206893101896
1014802;12;1,06247811515182
1014802;13;1,0216597468861
1014802;14;1,0216597468861
1014802;15;1,04206893101896
1014802;16;1,04206893101896
1014802;17;1,00125056275324
1014802;18;1,00125056275324
1014802;19;1,00125056275324
1014802;20;1,00125056275324
1014802;21;1,00125056275324
1014802;22;1,10449702366065
1014802;23;0,982041918863489
1031608;0;0,964812030075188
1031608;1;0,964812030075188
1031608;2;0,964812030075188
1031608;3;0,964812030075188
1031608;4;0,964812030075188
1031608;5;1,00330827067669
1031608;6;1,22225563909774
1031608;7;1,12842105263158
1031608;8;1,00330827067669
1031608;9;1,00330827067669
1031608;10;1,00330827067669
1031608;11;1,00330827067669
1031608;12;1,00330827067669
1031608;13;1,00330827067669
1031608;14;1,00330827067669
1031608;15;1,00330827067669
1031608;16;1,00330827067669
1031608;17;1,00330827067669
1031608;18;0,964812030075188
1031608;19;0,964812030075188
1031608;20;0,964812030075188
1031608;21;0,964812030075188
1031608;22;0,964812030075188
1031608;23;0,964812030075188
1043635;0;0,0691299165673421
1043635;1;0,0548271752085816
1043635;2;0,0691299165673421
1043635;3;0,0691299165673421
1043635;4;0,0691299165673421
1043635;5;0,0691299165673421
1043635;6;0,435041716328963
1043635;7;1,39928486293206
1043635;8;1,21096543504172
1043635;9;2,01430274135876
1043635;10;3,00357568533969
1043635;11;2,36352800953516
1043635;12;1,82479141835518
1043635;13;1,86293206197855
1043635;14;1,93325387365912
1043635;15;1,82479141835518
1043635;16;1,6507747318236
1043635;17;2,32419547079857
1043635;18;1,16448152562575
1043635;19;0,262216924910608
1043635;20;0,0941597139451728
1043635;21;0,0810488676996424
1043635;22;0,0810488676996424
1043635;23;0,0691299165673421
1052051;0;0,428120458986822
1052051;1;0,381219622187704
1052051;2;1,43348198627048
1052051;3;1,33126221375958
1052051;4;0,65420654406975
1052051;5;0,689081525279351
1052051;6;1,21581400010022
1052051;7;0,882697800270582
1052051;8;0,615723806183294
1052051;9;1,40461993285564
1052051;10;0,762439244375407
1052051;11;2,17307210502581
1052051;12;1,20739590118755
1052051;13;2,41960214461091
1052051;14;1,28436137696047
1052051;15;0,660219471864509
1052051;16;0,772059928847021
1052051;17;0,501478178082878
1052051;18;1,44671042741895
1052051;19;0,714335822017337
1052051;20;1,28436137696047
1052051;21;0,464198025755374
1052051;22;0,501478178082878
1052051;23;0,772059928847021
1054743;0;0,826298619824341
1054743;1;0,810639899623588
1054743;2;0,843161856963614
1054743;3;0,779322459222083
1054743;4;0,860025094102886
1054743;5;1,15272271016311
1054743;6;1,3996486825596
1054743;7;0,913023839397741
1054743;8;0,966022584692597
1054743;9;0,947954830614805
1054743;10;1,48276035131744
1054743;11;0,876888331242158
1054743;12;0,896160602258469
1054743;13;0,876888331242158
1054743;14;0,876888331242158
1054743;15;0,987703889585947
1054743;16;0,913023839397741
1054743;17;2,11754077791719
1054743;18;1,15272271016311
1054743;19;0,947954830614805
1054743;20;0,843161856963614
1054743;21;0,843161856963614
1054743;22;0,843161856963614
1054743;23;0,843161856963614
1055458;0;0,963218735925537
1055458;1;0,945203422909473
1055458;2;0,963218735925537
1055458;3;0,964419756793274
1055458;4;0,945203422909473
1055458;5;1,00165140369314
1055458;6;1,02206875844468
1055458;7;1,00165140369314
1055458;8;1,02206875844468
1055458;9;1,02206875844468
1055458;10;1,02206875844468
1055458;11;1,02206875844468
1055458;12;1,02206875844468
1055458;13;1,02206875844468
1055458;14;1,00285242456088
1055458;15;1,04248611319622
1055458;16;1,02206875844468
1055458;17;1,02206875844468
1055458;18;1,00165140369314
1055458;19;1,00165140369314
1055458;20;1,00165140369314
1055458;21;0,982435069809338
1055458;22;1,00165140369314
1055458;23;0,982435069809338
1055952;0;0
1055952;1;0,100679184978026
1055952;2;0
1055952;3;0
1055952;4;0
1055952;5;0
1055952;6;2,05193767479025
1055952;7;2,77107471034758
1055952;8;2,79744306831802
1055952;9;0,192968437874551
1055952;10;1,75349580503396
1055952;11;3,39672393128246
1055952;12;1,73312025569317
1055952;13;1,54015181781862
1055952;14;4,0247702756692
1055952;15;2,10827007590891
1055952;16;0,382341190571314
1055952;17;1,14702357171394
1055952;18;0
1055952;19;0
1055952;20;0
1055952;21;0
1055952;22;0
1055952;23;0
1056630;0;0
1056630;1;0
1056630;2;0
1056630;3;0
1056630;4;0
1056630;5;23,1096
1056630;6;0,8904
1056630;7;0
1056630;8;0
1056630;9;0
1056630;10;0
1056630;11;0
1056630;12;0
1056630;13;0
1056630;14;0
1056630;15;0
1056630;16;0
1056630;17;0
1056630;18;0
1056630;19;0
1056630;20;0
1056630;21;0
1056630;22;0
1056630;23;0
1056682;0;0,996514985562083
1056682;1;0,996514985562083
1056682;2;0,996514985562083
1056682;3;0,996514985562083
1056682;4;1,01682764114308
1056682;5;0,996514985562083
1056682;6;0,996514985562083
1056682;7;0,996514985562083
1056682;8;0,996514985562083
1056682;9;1,01682764114308
1056682;10;0,996514985562083
1056682;11;0,996514985562083
1056682;12;0,996514985562083
1056682;13;0,996514985562083
1056682;14;0,996514985562083
1056682;15;0,996514985562083
1056682;16;0,977397192074081
1056682;17;0,977397192074081
1056682;18;1,03714029672409
1056682;19;0,996514985562083
1056682;20;0,996514985562083
1056682;21;1,01682764114308
1056682;22;1,01682764114308
1056682;23;0,996514985562083
1059732;0;1,04473420260782
1059732;1;1,00381143430291
1059732;2;1,04473420260782
1059732;3;0,929187562688064
1059732;4;1,00381143430291
1059732;5;1,04473420260782
1059732;6;1,00381143430291
1059732;7;1,00381143430291
1059732;8;1,04473420260782
1059732;9;1,04473420260782
1059732;10;1,00381143430291
1059732;11;1,04473420260782
1059732;12;0,929187562688064
1059732;13;0,965295887662989
1059732;14;0,929187562688064
1059732;15;1,00381143430291
1059732;16;1,04473420260782
1059732;17;1,00381143430291
1059732;18;0,965295887662989
1059732;19;0,965295887662989
1059732;20;1,00381143430291
1059732;21;0,965295887662989
1059732;22;1,00381143430291
1059732;23;1,00381143430291
1061547;0;0
1061547;1;0
1061547;2;0
1061547;3;0,0626757734029731
1061547;4;0
1061547;5;0
1061547;6;0,171153073523503
1061547;7;2,03696263559663
1061547;8;1,48734431498594
1061547;9;3,96785857774207
1061547;10;5,22137404580153
1061547;11;3,136199276818
1061547;12;0,0843712334270792
1061547;13;1,431900361591
1061547;14;2,29248694254721
1061547;15;3,136199276818
1061547;16;0,19284853354761
1061547;17;0,0723182000803536
1061547;18;0,110887906789875
1061547;19;0,349537967055042
1061547;20;0,245881880273202
1061547;21;0
1061547;22;0
1061547;23;0
1063246;0;1,51243383601318
1063246;1;1,4537101767702
1063246;2;2,77439328872466
